T2M,RH2M,WS2M,PRECTOTCORR,Date
13.76,68.12,1.19,0.0,2023-11-20 00:00:00
12.89,72.19,1.21,0.0,2023-11-20 01:00:00
12.22,75.12,1.22,0.0,2023-11-20 02:00:00
11.8,76.94,1.25,0.0,2023-11-20 03:00:00
11.51,77.69,1.26,0.0,2023-11-20 04:00:00
11.41,77.31,1.26,0.0,2023-11-20 05:00:00
11.48,76.06,1.26,0.0,2023-11-20 06:00:00
12.19,74.69,1.11,0.0,2023-11-20 07:00:00
15.25,63.19,1.5,0.0,2023-11-20 08:00:00
17.26,54.75,1.47,0.0,2023-11-20 09:00:00
21.09,42.75,1.32,0.0,2023-11-20 10:00:00
23.05,36.94,1.74,0.0,2023-11-20 11:00:00
23.72,35.0,1.64,0.0,2023-11-20 12:00:00
23.97,34.06,1.33,0.0,2023-11-20 13:00:00
23.8,34.0,1.19,0.0,2023-11-20 14:00:00
23.27,35.81,1.14,0.0,2023-11-20 15:00:00
21.28,54.69,0.62,0.0,2023-11-20 16:00:00
19.73,49.88,0.83,0.0,2023-11-20 17:00:00
19.08,50.44,0.77,0.0,2023-11-20 18:00:00
18.79,49.62,0.53,0.0,2023-11-20 19:00:00
18.55,48.88,0.36,0.0,2023-11-20 20:00:00
17.23,52.88,0.73,0.0,2023-11-20 21:00:00
15.51,59.88,1.11,0.0,2023-11-20 22:00:00
14.09,65.88,1.27,0.0,2023-11-20 23:00:00
13.4,68.44,1.26,0.0,2023-11-21 00:00:00
13.18,68.44,1.21,0.0,2023-11-21 01:00:00
13.14,67.5,1.15,0.0,2023-11-21 02:00:00
13.25,65.88,1.07,0.0,2023-11-21 03:00:00
13.19,65.06,1.03,0.0,2023-11-21 04:00:00
12.93,65.44,1.04,0.0,2023-11-21 05:00:00
13.0,64.5,0.88,0.0,2023-11-21 06:00:00
13.37,63.88,0.59,0.0,2023-11-21 07:00:00
15.2,60.25,0.76,0.0,2023-11-21 08:00:00
17.19,52.44,1.1,0.0,2023-11-21 09:00:00
21.32,38.25,2.32,0.0,2023-11-21 10:00:00
23.3,33.62,2.51,0.0,2023-11-21 11:00:00
24.44,31.62,2.18,0.0,2023-11-21 12:00:00
25.01,30.62,1.82,0.0,2023-11-21 13:00:00
25.0,30.56,1.64,0.0,2023-11-21 14:00:00
24.47,32.25,1.46,0.0,2023-11-21 15:00:00
21.79,53.94,0.8,0.0,2023-11-21 16:00:00
19.38,51.44,1.16,0.0,2023-11-21 17:00:00
18.3,52.44,1.24,0.0,2023-11-21 18:00:00
17.51,53.5,1.28,0.0,2023-11-21 19:00:00
16.65,55.12,1.32,0.0,2023-11-21 20:00:00
15.61,57.62,1.37,0.0,2023-11-21 21:00:00
14.33,61.88,1.39,0.0,2023-11-21 22:00:00
13.26,66.06,1.39,0.0,2023-11-21 23:00:00
12.8,67.56,1.36,0.0,2023-11-22 00:00:00
12.94,66.06,1.29,0.0,2023-11-22 01:00:00
13.59,62.19,1.07,0.0,2023-11-22 02:00:00
13.81,60.62,0.76,0.0,2023-11-22 03:00:00
13.82,60.31,0.66,0.0,2023-11-22 04:00:00
13.44,61.62,0.72,0.0,2023-11-22 05:00:00
13.14,62.56,0.85,0.0,2023-11-22 06:00:00
13.23,63.5,0.9,0.0,2023-11-22 07:00:00
15.26,61.38,0.82,0.0,2023-11-22 08:00:00
17.42,51.0,0.45,0.0,2023-11-22 09:00:00
