T2M,RH2M,WS2M,Date
23.87,35.94,1.23,2024-10-19 00:00:00
22.74,38.75,1.26,2024-10-19 01:00:00
22.04,40.69,1.31,2024-10-19 02:00:00
21.47,42.56,1.35,2024-10-19 03:00:00
20.94,44.5,1.4,2024-10-19 04:00:00
20.45,46.69,1.39,2024-10-19 05:00:00
20.04,48.81,1.34,2024-10-19 06:00:00
22.3,43.44,2.04,2024-10-19 07:00:00
24.76,38.12,2.35,2024-10-19 08:00:00
29.1,29.75,1.15,2024-10-19 09:00:00
31.95,25.94,0.89,2024-10-19 10:00:00
33.32,23.69,1.01,2024-10-19 11:00:00
34.24,22.06,1.0,2024-10-19 12:00:00
34.72,21.12,0.94,2024-10-19 13:00:00
34.72,20.69,0.78,2024-10-19 14:00:00
34.4,20.5,0.56,2024-10-19 15:00:00
33.4,21.44,0.49,2024-10-19 16:00:00
31.08,26.81,0.47,2024-10-19 17:00:00
29.69,27.81,0.6,2024-10-19 18:00:00
28.83,29.06,0.62,2024-10-19 19:00:00
27.96,30.5,0.69,2024-10-19 20:00:00
27.12,31.62,0.89,2024-10-19 21:00:00
25.74,34.56,1.09,2024-10-19 22:00:00
24.13,38.69,1.21,2024-10-19 23:00:00
22.9,42.56,1.23,2024-10-20 00:00:00
22.08,45.38,1.22,2024-10-20 01:00:00
21.74,46.62,1.17,2024-10-20 02:00:00
21.93,45.88,1.07,2024-10-20 03:00:00
22.28,44.69,0.89,2024-10-20 04:00:00
22.26,44.5,0.7,2024-10-20 05:00:00
22.08,44.81,0.66,2024-10-20 06:00:00
23.16,42.19,0.66,2024-10-20 07:00:00
25.52,36.56,1.4,2024-10-20 08:00:00
29.33,29.25,1.41,2024-10-20 09:00:00
31.93,24.75,2.28,2024-10-20 10:00:00
33.3,22.5,2.4,2024-10-20 11:00:00
34.04,21.31,2.36,2024-10-20 12:00:00
34.23,20.94,2.18,2024-10-20 13:00:00
33.68,21.69,1.81,2024-10-20 14:00:00
33.02,23.06,1.55,2024-10-20 15:00:00
31.87,25.62,1.22,2024-10-20 16:00:00
29.22,31.19,0.84,2024-10-20 17:00:00
27.86,33.0,1.0,2024-10-20 18:00:00
27.02,34.5,1.04,2024-10-20 19:00:00
26.45,35.31,1.05,2024-10-20 20:00:00
26.28,35.56,0.96,2024-10-20 21:00:00
26.3,35.44,0.71,2024-10-20 22:00:00
26.3,35.44,0.46,2024-10-20 23:00:00
25.55,37.06,0.57,2024-10-21 00:00:00
24.47,39.5,0.87,2024-10-21 01:00:00
23.39,42.12,1.03,2024-10-21 02:00:00
22.58,44.06,1.07,2024-10-21 03:00:00
22.03,45.44,1.07,2024-10-21 04:00:00
21.58,46.5,1.06,2024-10-21 05:00:00
21.19,47.44,1.05,2024-10-21 06:00:00
22.59,43.5,0.95,2024-10-21 07:00:00
25.05,37.44,1.55,2024-10-21 08:00:00
28.69,32.38,0.38,2024-10-21 09:00:00
31.4,30.5,1.02,2024-10-21 10:00:00
32.68,28.44,1.01,2024-10-21 11:00:00
33.55,26.75,1.02,2024-10-21 12:00:00
