T2M,RH2M,WS2M,PRECTOTCORR,Date
12.26,67.62,7.59,0.0,2024-11-09 00:00:00
11.48,64.75,8.03,0.0,2024-11-09 01:00:00
10.38,61.81,7.98,0.0,2024-11-09 02:00:00
9.32,62.38,7.32,0.0,2024-11-09 03:00:00
8.52,65.56,6.58,0.0,2024-11-09 04:00:00
7.93,68.44,6.17,0.0,2024-11-09 05:00:00
7.44,70.81,5.92,0.0,2024-11-09 06:00:00
7.65,69.81,6.04,0.0,2024-11-09 07:00:00
8.36,65.19,6.1,0.0,2024-11-09 08:00:00
9.12,58.94,5.77,0.0,2024-11-09 09:00:00
9.96,53.38,5.52,0.0,2024-11-09 10:00:00
10.81,49.25,5.33,0.0,2024-11-09 11:00:00
11.56,45.94,5.04,0.0,2024-11-09 12:00:00
12.21,43.5,4.87,0.0,2024-11-09 13:00:00
12.68,42.12,4.8,0.0,2024-11-09 14:00:00
12.86,42.12,4.69,0.0,2024-11-09 15:00:00
12.11,46.44,4.14,0.0,2024-11-09 16:00:00
11.01,50.62,3.96,0.0,2024-11-09 17:00:00
10.7,52.19,3.84,0.0,2024-11-09 18:00:00
10.35,53.88,3.73,0.0,2024-11-09 19:00:00
9.98,55.12,3.6,0.0,2024-11-09 20:00:00
9.66,55.94,3.41,0.0,2024-11-09 21:00:00
9.35,56.75,3.21,0.0,2024-11-09 22:00:00
9.2,56.81,2.89,0.0,2024-11-09 23:00:00
9.1,56.88,2.62,0.0,2024-11-10 00:00:00
9.19,56.94,2.43,0.0,2024-11-10 01:00:00
9.62,54.0,1.74,0.0,2024-11-10 02:00:00
9.99,52.75,1.5,0.0,2024-11-10 03:00:00
10.28,55.5,1.83,0.0,2024-11-10 04:00:00
10.58,58.0,2.13,0.0,2024-11-10 05:00:00
10.68,61.62,2.68,0.0,2024-11-10 06:00:00
10.96,64.69,3.29,0.0,2024-11-10 07:00:00
12.43,62.56,4.17,0.0,2024-11-10 08:00:00
13.34,60.56,5.31,0.0,2024-11-10 09:00:00
13.72,60.31,5.77,0.0,2024-11-10 10:00:00
13.9,61.62,5.87,0.0,2024-11-10 11:00:00
14.1,62.75,5.74,0.0,2024-11-10 12:00:00
14.24,64.31,5.48,0.0,2024-11-10 13:00:00
14.54,65.88,5.41,0.0,2024-11-10 14:00:00
14.5,69.25,5.39,0.0,2024-11-10 15:00:00
14.27,74.31,5.13,0.0,2024-11-10 16:00:00
14.33,79.25,5.46,0.0,2024-11-10 17:00:00
14.8,82.38,5.8,0.0,2024-11-10 18:00:00
15.03,77.25,3.53,0.0,2024-11-11 19:00:00
13.36,85.94,4.33,0.0,2024-11-11 23:00:00
13.39,82.81,5.13,0.0,2024-11-12 00:00:00
13.38,80.25,5.82,0.0,2024-11-12 01:00:00
13.19,78.0,6.34,0.0,2024-11-12 02:00:00
12.68,72.31,6.91,0.0,2024-11-12 03:00:00
11.9,71.12,7.08,0.0,2024-11-12 04:00:00
11.3,73.0,7.47,0.0,2024-11-12 05:00:00
10.73,76.56,7.6,0.0,2024-11-12 06:00:00
10.74,76.56,7.89,0.0,2024-11-12 07:00:00
11.05,70.12,8.78,0.0,2024-11-12 08:00:00
11.11,64.69,8.95,0.0,2024-11-12 09:00:00
11.33,61.38,8.77,0.0,2024-11-12 10:00:00
11.71,59.38,8.57,0.0,2024-11-12 11:00:00
12.13,56.81,8.45,0.0,2024-11-12 12:00:00
12.36,54.62,8.38,0.0,2024-11-12 13:00:00
12.28,53.69,8.24,0.0,2024-11-12 14:00:00
11.92,53.56,8.07,0.0,2024-11-12 15:00:00
11.19,54.88,7.73,0.0,2024-11-12 16:00:00
10.33,57.44,7.51,0.0,2024-11-12 17:00:00
9.67,59.44,7.54,0.0,2024-11-12 18:00:00
8.98,61.38,7.58,0.0,2024-11-12 19:00:00
8.33,63.5,7.62,0.0,2024-11-12 20:00:00
7.8,65.81,7.61,0.0,2024-11-12 21:00:00
7.31,67.69,7.56,0.0,2024-11-12 22:00:00
6.82,69.94,7.23,0.0,2024-11-12 23:00:00
6.36,72.38,6.69,0.0,2024-11-13 00:00:00
5.94,74.44,6.39,0.0,2024-11-13 01:00:00
5.62,76.19,6.23,0.0,2024-11-13 02:00:00
5.3,77.56,6.14,0.0,2024-11-13 03:00:00
5.08,77.81,6.11,0.0,2024-11-13 04:00:00
4.91,77.94,6.08,0.0,2024-11-13 05:00:00
4.82,78.06,6.11,0.0,2024-11-13 06:00:00
5.16,76.75,6.29,0.0,2024-11-13 07:00:00
5.97,71.5,6.51,0.0,2024-11-13 08:00:00
6.77,65.12,6.18,0.0,2024-11-13 09:00:00
7.46,59.06,5.58,0.0,2024-11-13 10:00:00
8.32,53.31,5.01,0.0,2024-11-13 11:00:00
9.03,49.0,4.64,0.0,2024-11-13 12:00:00
9.62,45.75,4.36,0.0,2024-11-13 13:00:00
10.08,43.94,4.24,0.0,2024-11-13 14:00:00
10.27,43.88,4.21,0.0,2024-11-13 15:00:00
9.4,50.25,3.91,0.0,2024-11-13 16:00:00
8.56,54.38,4.19,0.0,2024-11-13 17:00:00
8.41,56.81,4.45,0.0,2024-11-13 18:00:00
8.19,59.25,4.54,0.0,2024-11-13 19:00:00
7.87,61.38,4.43,0.0,2024-11-13 20:00:00
7.55,63.38,4.35,0.0,2024-11-13 21:00:00
7.4,64.88,4.63,0.0,2024-11-13 22:00:00
7.19,66.38,4.88,0.0,2024-11-13 23:00:00
6.92,67.62,4.88,0.0,2024-11-14 00:00:00
6.69,68.44,4.77,0.0,2024-11-14 01:00:00
6.51,69.25,4.75,0.0,2024-11-14 02:00:00
6.3,70.31,4.68,0.0,2024-11-14 03:00:00
6.01,72.88,4.59,0.0,2024-11-14 04:00:00
5.79,75.75,4.62,0.0,2024-11-14 05:00:00
5.71,78.12,4.85,0.0,2024-11-14 06:00:00
6.03,77.81,4.96,0.0,2024-11-14 07:00:00
6.58,75.12,4.97,0.0,2024-11-14 08:00:00
6.9,72.75,4.78,0.0,2024-11-14 09:00:00
7.22,70.12,4.55,0.0,2024-11-14 10:00:00
7.54,67.88,4.23,0.0,2024-11-14 11:00:00
7.78,65.5,3.67,0.0,2024-11-14 12:00:00
8.0,63.69,3.39,0.0,2024-11-14 13:00:00
8.08,62.88,3.21,0.0,2024-11-14 14:00:00
7.97,64.25,2.7,0.0,2024-11-14 15:00:00
7.6,64.81,2.39,0.0,2024-11-14 16:00:00
7.48,64.12,2.33,0.0,2024-11-14 17:00:00
7.57,63.81,2.46,0.0,2024-11-14 18:00:00
7.68,63.31,2.54,0.0,2024-11-14 19:00:00
7.8,62.12,2.47,0.0,2024-11-14 20:00:00
7.87,60.69,2.33,0.0,2024-11-14 21:00:00
7.83,59.69,2.28,0.0,2024-11-14 22:00:00
7.7,59.81,2.5,0.0,2024-11-14 23:00:00
7.62,60.5,3.17,0.0,2024-11-15 00:00:00
7.51,59.31,3.29,0.0,2024-11-15 01:00:00
7.25,58.62,3.22,0.0,2024-11-15 02:00:00
6.97,58.31,3.35,0.0,2024-11-15 03:00:00
6.73,58.44,3.56,0.0,2024-11-15 04:00:00
6.55,57.81,3.57,0.0,2024-11-15 05:00:00
6.43,57.19,3.51,0.0,2024-11-15 06:00:00
6.69,57.0,3.65,0.0,2024-11-15 07:00:00
7.78,53.44,4.17,0.0,2024-11-15 08:00:00
8.58,49.38,4.75,0.0,2024-11-15 09:00:00
9.61,46.75,5.18,0.0,2024-11-15 10:00:00
10.88,46.5,5.44,0.0,2024-11-15 11:00:00
12.03,46.69,5.4,0.0,2024-11-15 12:00:00
12.98,46.44,5.34,0.0,2024-11-15 13:00:00
13.65,47.06,5.31,0.0,2024-11-15 14:00:00
13.86,49.81,5.03,0.0,2024-11-15 15:00:00
12.82,56.81,4.66,0.0,2024-11-15 16:00:00
11.98,62.81,5.1,0.0,2024-11-15 17:00:00
11.47,67.56,5.44,0.0,2024-11-15 18:00:00
10.78,71.81,5.56,0.0,2024-11-15 19:00:00
10.09,75.88,5.62,0.0,2024-11-15 20:00:00
9.45,78.19,5.7,0.0,2024-11-15 21:00:00
8.9,77.19,5.82,0.0,2024-11-15 22:00:00
8.35,75.44,5.84,0.0,2024-11-15 23:00:00
7.95,73.25,5.85,0.0,2024-11-16 00:00:00
7.69,72.38,5.85,0.0,2024-11-16 01:00:00
7.55,72.56,5.8,0.0,2024-11-16 02:00:00
7.5,72.88,5.76,0.0,2024-11-16 03:00:00
7.44,73.94,5.72,0.0,2024-11-16 04:00:00
7.29,75.56,5.63,0.0,2024-11-16 05:00:00
7.16,76.38,5.46,0.0,2024-11-16 06:00:00
7.58,74.19,5.34,0.0,2024-11-16 07:00:00
9.08,66.31,5.74,0.0,2024-11-16 08:00:00
10.46,57.75,6.18,0.0,2024-11-16 09:00:00
11.88,50.88,6.4,0.0,2024-11-16 10:00:00
13.37,45.62,6.49,0.0,2024-11-16 11:00:00
14.57,42.56,6.6,0.0,2024-11-16 12:00:00
15.32,41.81,6.73,0.0,2024-11-16 13:00:00
15.55,42.94,6.77,0.0,2024-11-16 14:00:00
15.26,45.75,6.64,0.0,2024-11-16 15:00:00
14.14,51.0,6.26,0.0,2024-11-16 16:00:00
12.9,57.0,6.21,0.0,2024-11-16 17:00:00
12.14,61.5,6.23,0.0,2024-11-16 18:00:00
